measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,1999,1.6464365742200002,3.1207367554200003,0.1882855062
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2000,34.72412753272879,67.11994983979318,3.8267546558828376
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2000,1.54794738552,2.99210255961,0.17059074728
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2001,35.85842163297,68.65305530411217,4.081157345957228
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2001,1.56173783871,2.99003886197,0.17774619079
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2002,36.351207097646245,70.53456064273848,4.125561128712024
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2002,1.5484997177300002,3.00465255396,0.17574190112000002
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2003,36.333726677819634,71.52423297490022,4.1640723188238695
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2003,1.5148870024299999,2.98210893293,0.17361552502
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2004,33.08801391155787,65.31612833971353,3.726496067761881
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2004,1.3509567549000001,2.66680451176,0.15214981014999998
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2005,30.62482100582065,61.39737902204723,3.477205019354293
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2005,1.22477178419,2.4554519824,0.13906310162000002
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2006,29.49479568038756,58.99927658251166,3.4994635316357554
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,2006,1.15538979149,2.31115897894,0.13708331748000002
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,2007,27.360059566530136,54.83836841313254,3.0700696941720755
